uc,run,delivery_rate,duplicate_rate,received_unique,recv_total,total_expected,duplicates,out_of_order,lat_min,lat_p50,lat_p90,lat_p99,lat_max,ldh_min,ldh_p50,ldh_p90,ldh_p99,ldh_max,convergence_time_ms,pr_avg_ratio,rt_avg_ms,rt_p50_ms,rt_p90_ms,rt_max_ms,disconnect_events,reconnect_events,reconnect_samples,join_wait_ms,sender_joined,joined,saw_test,convergence_time_s,delivery_rate_joined_only,reconnect_samples_joined_only,join_wait_ms_joined_only
UC2_P30,run-20251201-003352_uc2_p30_m2000_r10_s256_RELAY,1.0,0.0,2000.0,2000.0,2000.0,0.0,0.0,0.06666666666666667,1.0666666666666667,1.6333333333333333,1.8333333333333333,3.1666666666666665,2.1666666666666665,2.1666666666666665,2.1666666666666665,2.1666666666666665,3.8,202590.96666666667,1.0,2405.2380952380954,2676.285714285714,2676.285714285714,2676.285714285714,5.366666666666666,5.266666666666667,0.8333333333333334,139.7,1.0,1.0,1.0,202.59096666666667,1.0,0.8333333333333334,139.7
UC2_P40,run-20251201-003758_uc2_p40_m2000_r10_s256_RELAY,1.0,0.0,2000.0,2000.0,2000.0,0.0,0.0,0.175,1.175,1.675,1.975,2.9,2.425,2.45,2.45,2.45,3.325,202411.75,1.0,2706.3684210526317,2781.5263157894738,2781.5263157894738,2781.5263157894738,4.525,4.2,0.5,690.25,1.0,1.0,1.0,202.41175,1.0,0.5,690.25
UC2_P40,run-20251201-004151_uc2_p40_m2000_r10_s256_RELAY,1.0,0.0,2000.0,2000.0,2000.0,0.0,0.0,0.15,1.125,1.675,1.925,3.725,2.05,2.25,2.25,2.25,3.475,202554.9,1.0,11347.73076923077,11500.846153846154,11500.846153846154,11500.846153846154,4.775,4.675,0.725,1097.675,1.0,1.0,1.0,202.5549,1.0,0.725,1097.675
UC2_P40,run-20251201-004543_uc2_p40_m2000_r10_s256_RELAY,1.0,0.0,2000.0,2000.0,2000.0,0.0,0.0,0.2,1.25,1.825,2.15,3.575,2.55,2.65,3.125,3.125,3.275,202666.05,1.0,8802.655172413793,8802.655172413793,8802.655172413793,8802.655172413793,4.375,4.2,0.725,93.875,1.0,1.0,1.0,202.66604999999998,1.0,0.725,93.875
UC2_P40,run-20251201-004935_uc2_p40_m2000_r10_s256_RELAY,1.0,0.0,2000.0,2000.0,2000.0,0.0,0.0,0.15,1.15,1.725,1.925,5.95,2.25,2.25,2.325,2.325,3.8,202598.575,1.0,11808.4,11920.12,11920.12,11920.12,4.5,4.325,0.675,89.7,1.0,1.0,1.0,202.598575,1.0,0.675,89.7
UC2_P40,run-20251201-005326_uc2_p40_m2000_r10_s256_RELAY,1.0,0.0,2000.0,2000.0,2000.0,0.0,0.0,0.25,1.25,1.725,2.05,3.325,3.025,3.075,3.075,3.075,4.3,202497.7,1.0,2659.6153846153848,2816.6923076923076,2816.6923076923076,2816.6923076923076,4.275,4.025,0.725,1063.65,1.0,1.0,1.0,202.4977,1.0,0.725,1063.65
UC2_P40,run-20251201-005719_uc2_p40_m2000_r10_s256_RELAY,1.0,0.0,2000.0,2000.0,2000.0,0.0,0.0,0.15,1.15,1.65,2.075,3.475,2.0,2.025,2.025,2.025,2.95,202628.85,1.0,6758.958333333333,6875.916666666667,6875.916666666667,6875.916666666667,4.925,4.575,0.675,272.475,1.0,1.0,1.0,202.62885,1.0,0.675,272.475
UC2_P40,run-20251201-010110_uc2_p40_m2000_r10_s256_RELAY,1.0,0.0,2000.0,2000.0,2000.0,0.0,0.0,0.15,1.125,1.725,2.05,9.95,2.05,2.25,2.45,2.45,3.375,202570.35,1.0,7082.52,7196.68,7196.68,7196.68,4.575,4.325,0.675,416.575,1.0,1.0,1.0,202.57035000000002,1.0,0.675,416.575
UC2_P40,run-20251201-010503_uc2_p40_m2000_r10_s256_RELAY,1.0,0.0,2000.0,2000.0,2000.0,0.0,0.0,0.175,1.1,1.7,1.975,3.025,2.25,2.6,2.6,2.6,3.175,202453.525,1.0,15761.222222222223,15868.0,15868.0,15868.0,4.825,4.6,0.725,773.45,1.0,1.0,1.0,202.45352499999998,1.0,0.725,773.45
UC2_P40,run-20251201-010855_uc2_p40_m2000_r10_s256_RELAY,1.0,0.0,2000.0,2000.0,2000.0,0.0,0.0,0.15,1.15,1.675,1.975,3.55,2.225,2.275,2.3,2.3,3.375,202512.575,1.0,24918.761904761905,25121.666666666668,25121.666666666668,25121.666666666668,4.425,4.225,0.6,72.0,1.0,1.0,1.0,202.512575,1.0,0.6,72.0
