uc,run,delivery_rate,duplicate_rate,received_unique,recv_total,total_expected,duplicates,out_of_order,lat_min,lat_p50,lat_p90,lat_p99,lat_max,ldh_min,ldh_p50,ldh_p90,ldh_p99,ldh_max,pr_avg_ratio,avg_connected_peers,downtime_total_ms,downtime_periods,downtime_p50_ms,downtime_p90_ms,downtime_max_ms,neighbour_down,neighbour_up,join_wait_ms,sender_joined,joined,saw_test,delivery_rate_joined_only
UC4_P30,run-20251204-142531_uc10_p30_m2000_r10_s256_RELAY,0.6913,0.0,1382.6,1382.6,1400.0,0.0,209.03333333333333,62.42857142857143,265.6190476190476,509.1904761904762,2936.3333333333335,16510.761904761905,0.7142857142857143,1.380952380952381,3.4285714285714284,5.380952380952381,8.428571428571429,1.0,3.8082518369414218,236.73333333333332,0.23333333333333334,1174.3333333333333,1174.3333333333333,1174.3333333333333,5.233333333333333,7.666666666666667,12738.266666666666,1.0,0.7,0.7,0.9875714285714287
UC4_P30,run-20251204-142927_uc10_p30_m2000_r10_s256_RELAY,0.6997333333333333,0.0,1399.4666666666667,1399.4666666666667,1400.0,0.0,188.4,55.333333333333336,279.1904761904762,566.7142857142857,945.4761904761905,2365.904761904762,0.7142857142857143,1.6666666666666667,3.0,4.571428571428571,6.714285714285714,1.0,4.162411951968197,94.76666666666667,0.16666666666666666,568.6,568.6,568.6,5.966666666666667,8.3,9992.233333333334,1.0,0.7,0.7,0.9996190476190476
UC4_P30,run-20251204-143323_uc10_p30_m2000_r10_s256_RELAY,0.7653666666666666,0.0,1530.7333333333333,1530.7333333333333,1533.3333333333333,0.0,214.46666666666667,54.47826086956522,233.7391304347826,479.2173913043478,890.4782608695652,2612.521739130435,0.6956521739130435,1.2608695652173914,2.5652173913043477,4.434782608695652,6.608695652173913,1.0,3.9088761615119854,41.233333333333334,0.13333333333333333,309.25,309.25,309.25,7.066666666666666,9.533333333333333,8408.0,1.0,0.7666666666666667,0.7666666666666667,0.9983043478260869
UC4_P30,run-20251204-143719_uc10_p30_m2000_r10_s256_RELAY,0.7227,0.0,1445.4,1445.4,1466.6666666666667,0.0,202.13333333333333,51.36363636363637,277.6363636363636,567.6363636363636,1075.5,1879.590909090909,0.5909090909090909,1.0909090909090908,3.0,4.681818181818182,6.681818181818182,1.0,3.667740173642904,81.46666666666667,0.13333333333333333,611.0,611.0,611.0,5.566666666666666,7.833333333333333,11183.6,1.0,0.7333333333333333,0.7333333333333333,0.9855
UC4_P30,run-20251204-144115_uc10_p30_m2000_r10_s256_RELAY,0.7655666666666666,0.0,1531.1333333333334,1531.1333333333334,1533.3333333333333,0.0,223.36666666666667,62.65217391304348,279.17391304347825,523.9130434782609,844.304347826087,2976.7391304347825,0.6086956521739131,1.434782608695652,3.217391304347826,5.086956521739131,6.913043478260869,1.0,3.8684910540518,294.06666666666666,0.26666666666666666,1237.4285714285713,1237.4285714285713,1237.4285714285713,7.266666666666667,9.733333333333333,8142.066666666667,1.0,0.7666666666666667,0.7666666666666667,0.9985652173913043
UC4_P40,run-20251205-003550_uc10_p40_m2000_r10_s256_RELAY,0.8225999999999999,0.0,1645.2,1645.2,1650.0,0.0,269.325,65.36363636363636,308.6060606060606,565.9090909090909,1881.8181818181818,2760.878787878788,0.6060606060606061,1.5454545454545454,3.484848484848485,5.757575757575758,9.606060606060606,1.0,4.098008919076118,77.4,0.075,1032.0,1032.0,1032.0,10.125,12.775,6936.275,1.0,0.825,0.825,0.997090909090909
UC4_P40,run-20251205-003946_uc10_p40_m2000_r10_s256_RELAY,0.8968624999999999,0.0,1793.725,1793.725,1800.0,0.0,284.975,68.16666666666667,329.44444444444446,576.6111111111111,982.6666666666666,3858.4444444444443,0.6666666666666666,1.75,3.7222222222222223,5.611111111111111,8.555555555555555,1.0,3.603609625580553,205.15,0.35,622.3333333333334,622.3333333333334,622.3333333333334,12.225,14.875,5811.675,1.0,0.9,0.9,0.9965138888888888
UC4_P40,run-20251205-004340_uc10_p40_m2000_r10_s256_RELAY,0.7243375000000001,0.0,1448.675,1448.675,1450.0,0.0,194.9,64.55172413793103,314.2758620689655,597.5862068965517,989.3103448275862,1719.551724137931,1.0,1.793103448275862,3.3448275862068964,5.379310344827586,8.275862068965518,1.0,4.018914709481975,34.45,0.075,459.3333333333333,459.3333333333333,459.3333333333333,6.525,8.875,9253.9,1.0,0.725,0.725,0.9990862068965518
UC4_P40,run-20251205-004733_uc10_p40_m2000_r10_s256_RELAY,0.79325,0.0,1586.5,1586.5,1600.0,0.0,234.0,69.0,333.96875,577.40625,1640.09375,6235.0,0.71875,2.0,3.84375,5.90625,8.53125,1.0,3.851612254285985,309.625,0.35,952.6923076923077,952.6923076923077,952.6923076923077,10.875,13.45,9222.5,1.0,0.8,0.8,0.9915625
UC4_P40,run-20251205-005127_uc10_p40_m2000_r10_s256_RELAY,0.7239,0.0,1447.8,1447.8,1450.0,0.0,226.45,61.275862068965516,358.2758620689655,648.1034482758621,1202.3103448275863,2529.793103448276,0.6206896551724138,1.793103448275862,3.6206896551724137,6.0,8.793103448275861,1.0,3.950167397432243,110.825,0.125,886.6,886.6,886.6,9.05,11.25,9263.75,1.0,0.725,0.725,0.9984827586206897
