uc,run,delivery_rate,duplicate_rate,received_unique,recv_total,total_expected,duplicates,out_of_order,lat_min,lat_p50,lat_p90,lat_p99,lat_max,ldh_min,ldh_p50,ldh_p90,ldh_p99,ldh_max,pr_avg_ratio,avg_connected_peers,downtime_total_ms,downtime_periods,downtime_p50_ms,downtime_p90_ms,downtime_max_ms,neighbour_down,neighbour_up,join_wait_ms,sender_joined,joined,saw_test,delivery_rate_joined_only
UC2_P50,run-20251204-000810_uc8_p50_m2000_r10_s256_RELAY,0.99886,0.0,1997.72,1997.72,2000.0,0.0,1.5,1.22,4.32,8.0,18.1,87.12,2.08,3.42,3.66,3.66,4.28,1.0,3.171413622213541,2.2,0.16,20.8,20.8,20.8,16.74,19.04,1065.72,1.0,1.0,1.0,0.99886
UC2_P50,run-20251204-001221_uc8_p50_m2000_r10_s256_RELAY,1.0,0.0,2000.0,2000.0,2000.0,0.0,0.0,0.3,2.54,4.1,7.08,26.38,2.08,2.62,2.74,2.74,5.78,1.0,3.221317862924696,4484.92,0.26,24912.666666666668,24912.666666666668,24912.666666666668,15.4,18.04,1205.6,1.0,1.0,1.0,1.0
UC2_P50,run-20251204-001632_uc8_p50_m2000_r10_s256_RELAY,0.97887,0.0,1957.74,1957.74,1960.0,0.0,0.06,0.42857142857142855,2.7755102040816326,5.224489795918367,10.510204081632653,62.59183673469388,2.816326530612245,3.020408163265306,3.020408163265306,3.7755102040816326,5.142857142857143,1.0,2.8409049365843457,5025.46,0.32,1169.6363636363637,22654.545454545456,22654.545454545456,16.08,18.38,1620.66,1.0,1.0,0.98,0.97887
UC2_P50,run-20251204-002048_uc8_p50_m2000_r10_s256_RELAY,1.0,0.0,2000.0,2000.0,2000.0,0.0,0.0,0.4,2.26,3.88,7.52,45.14,2.36,2.68,2.68,2.68,3.94,1.0,3.0312431122527452,0.94,0.08,11.75,11.75,11.75,15.14,17.76,1596.76,1.0,1.0,1.0,1.0
UC2_P50,run-20251204-002502_uc8_p50_m2000_r10_s256_RELAY,0.96098,0.0,1921.96,1921.96,1960.0,0.0,5.32,0.20408163265306123,2.204081632653061,236.3877551020408,526.4285714285714,658.3061224489796,1.6326530612244898,3.510204081632653,4.673469387755102,5.979591836734694,6.6938775510204085,1.0,2.951803464709913,326.12,0.42,1326.8333333333333,1341.6666666666667,1341.6666666666667,21.42,23.46,233.56,1.0,1.0,0.98,0.96098
UC2_P50,run-20251204-002913_uc8_p50_m2000_r10_s256_RELAY,0.99934,0.0,1998.68,1998.68,2000.0,0.0,6.68,0.86,4.44,198.78,384.42,475.36,1.66,2.58,2.76,3.72,4.64,1.0,3.0149795958397094,4289.4,0.48,130.6,14295.933333333332,14295.933333333332,19.06,21.5,1157.2,1.0,1.0,1.0,0.99934
UC2_P50,run-20251204-003334_uc8_p50_m2000_r10_s256_RELAY,0.98,0.0,1960.0,1960.0,1960.0,0.0,0.0,0.2653061224489796,2.5714285714285716,3.877551020408163,6.653061224489796,47.673469387755105,2.0408163265306123,2.4489795918367347,2.4489795918367347,2.4489795918367347,3.7142857142857144,1.0,3.2819235076909967,0.7,0.16,4.375,4.375,4.375,13.9,16.4,1710.6,1.0,0.98,0.98,1.0
UC2_P50,run-20251204-003749_uc8_p50_m2000_r10_s256_RELAY,0.98,0.0,1960.0,1960.0,1960.0,0.0,0.0,0.22448979591836735,1.7551020408163265,3.7551020408163267,6.3061224489795915,48.326530612244895,2.0408163265306123,2.306122448979592,2.306122448979592,2.306122448979592,3.9591836734693877,1.0,3.075586297779858,4.04,0.3,17.818181818181817,17.818181818181817,17.818181818181817,15.84,17.92,1845.2,1.0,0.98,0.98,1.0
UC2_P50,run-20251204-004202_uc8_p50_m2000_r10_s256_RELAY,0.99884,0.0,1997.68,1997.68,2000.0,0.0,0.36,1.24,3.46,5.9,14.14,87.96,2.0,4.08,4.16,4.26,5.8,1.0,2.956760207801901,4442.32,0.34,17081.384615384617,17083.46153846154,17083.46153846154,16.0,18.34,1307.22,1.0,1.0,1.0,0.99884
UC2_P50,run-20251204-004611_uc8_p50_m2000_r10_s256_RELAY,1.0,0.0,2000.0,2000.0,2000.0,0.0,0.0,0.38,1.86,3.94,7.04,61.64,2.12,3.16,3.24,3.24,3.48,1.0,3.142693927941997,8.66,0.36,29.0,29.0,29.0,16.5,19.04,834.42,1.0,1.0,1.0,1.0
UC3_P10,run-20251203-232813_uc9_p10_m2000_r10_s256_DIRECT,0.88555,0.0,1771.1,1771.1,1800.0,0.0,151.8,31.22222222222222,116.77777777777777,314.77777777777777,515.1111111111111,719.4444444444445,0.3333333333333333,0.7777777777777778,1.3333333333333333,2.2222222222222223,3.0,1.0,3.314758667159788,504.6,0.4,1482.6666666666667,1482.6666666666667,1482.6666666666667,2.1,5.2,6393.6,1.0,0.9,0.9,0.9839444444444444
UC3_P10,run-20251203-233157_uc9_p10_m2000_r10_s256_DIRECT,0.7929,0.0,1585.8,1585.8,1600.0,0.0,162.9,32.75,169.875,370.5,584.375,894.625,0.0,0.875,2.125,3.375,4.5,1.0,3.842725703347148,70.4,0.1,704.0,704.0,704.0,3.6,6.4,7726.0,1.0,0.8,0.8,0.991125
UC3_P10,run-20251203-233540_uc9_p10_m2000_r10_s256_DIRECT,0.9925,0.0,1985.0,1985.0,2000.0,0.0,159.8,31.0,99.7,277.1,453.4,844.7,0.3,0.6,1.4,2.3,3.4,1.0,3.9131917462698205,235.6,0.2,1178.0,1178.0,1178.0,3.8,7.4,1984.3,1.0,1.0,1.0,0.9925
UC3_P10,run-20251203-233923_uc9_p10_m2000_r10_s256_DIRECT,0.9898,0.0,1979.6,1979.6,2000.0,0.0,207.2,41.4,157.7,347.7,543.4,806.5,0.2,0.7,1.9,3.2,4.6,1.0,3.5487244702684224,100.5,0.2,502.5,502.5,502.5,2.3,5.9,2546.6,1.0,1.0,1.0,0.9898
