uc,run,avg_connected_peers
UC5_P30_C30,run-20251216-134728_uc5_p30_c30_m2000_r10_s256_DIRECT,4.033523915668253
UC5_P30_C30,run-20251216-135140_uc5_p30_c30_m2000_r10_s256_DIRECT,4.049177647200683
UC5_P30_C30,run-20251216-135549_uc5_p30_c30_m2000_r10_s256_DIRECT,3.7051735820151834
UC5_P30_C30,run-20251216-135959_uc5_p30_c30_m2000_r10_s256_DIRECT,4.00495720208623
UC5_P30_C30,run-20251216-140408_uc5_p30_c30_m2000_r10_s256_DIRECT,4.103232898391296
UC5_P30_C30,run-20251216-140819_uc5_p30_c30_m2000_r10_s256_DIRECT,3.9600632249099426
UC5_P30_C30,run-20251216-141227_uc5_p30_c30_m2000_r10_s256_DIRECT,4.086037029240918
UC5_P40_C10,run-20251216-105101_uc5_p40_c10_m2000_r10_s256_DIRECT,4.208917989865617
UC5_P40_C10,run-20251216-105509_uc5_p40_c10_m2000_r10_s256_DIRECT,4.1599775175834335
UC5_P40_C10,run-20251216-105914_uc5_p40_c10_m2000_r10_s256_DIRECT,3.9470384306724036
UC5_P40_C10,run-20251216-110321_uc5_p40_c10_m2000_r10_s256_DIRECT,3.978537043066631
UC5_P40_C10,run-20251216-110732_uc5_p40_c10_m2000_r10_s256_DIRECT,3.819944479919669
UC5_P40_C10,run-20251216-111138_uc5_p40_c10_m2000_r10_s256_DIRECT,3.972447016329934
UC5_P40_C10,run-20251216-111544_uc5_p40_c10_m2000_r10_s256_DIRECT,3.8303700814573416
UC5_P40_C10,run-20251216-111949_uc5_p40_c10_m2000_r10_s256_DIRECT,4.21775054338482
UC5_P40_C10,run-20251216-112355_uc5_p40_c10_m2000_r10_s256_DIRECT,4.26332719194912
UC5_P40_C10,run-20251216-112805_uc5_p40_c10_m2000_r10_s256_DIRECT,3.891309653152154
UC5_P40_C20,run-20251216-113224_uc5_p40_c20_m2000_r10_s256_DIRECT,4.220254149114588
UC5_P40_C20,run-20251216-113630_uc5_p40_c20_m2000_r10_s256_DIRECT,4.35353850826382
UC5_P40_C20,run-20251216-114729_uc5_p40_c20_m2000_r10_s256_DIRECT,3.837816835769329
UC5_P40_C20,run-20251216-122244_uc5_p40_c20_m2000_r10_s256_DIRECT,4.2571917512498985
UC5_P40_C20,run-20251216-122701_uc5_p40_c20_m2000_r10_s256_DIRECT,3.9332127148942
UC5_P40_C20,run-20251216-123115_uc5_p40_c20_m2000_r10_s256_DIRECT,4.018707136244024
UC5_P40_C20,run-20251216-123527_uc5_p40_c20_m2000_r10_s256_DIRECT,4.0270762518190315
UC5_P40_C20,run-20251216-123941_uc5_p40_c20_m2000_r10_s256_DIRECT,4.2478005481823695
UC5_P40_C20,run-20251216-124352_uc5_p40_c20_m2000_r10_s256_DIRECT,4.113278518123721
UC5_P40_C20,run-20251216-124810_uc5_p40_c20_m2000_r10_s256_DIRECT,3.9468263232099816
UC5_P40_C30,run-20251216-125230_uc5_p40_c30_m2000_r10_s256_DIRECT,4.089275893017229
UC5_P40_C30,run-20251216-125642_uc5_p40_c30_m2000_r10_s256_DIRECT,3.9994532646733356
UC5_P40_C30,run-20251216-130054_uc5_p40_c30_m2000_r10_s256_DIRECT,4.150014103192919
UC5_P40_C30,run-20251216-130508_uc5_p40_c30_m2000_r10_s256_DIRECT,3.9120624139569236
UC5_P40_C30,run-20251216-130920_uc5_p40_c30_m2000_r10_s256_DIRECT,3.986751201082343
UC5_P40_C30,run-20251216-131331_uc5_p40_c30_m2000_r10_s256_DIRECT,3.9960084491619683
UC5_P40_C30,run-20251216-131747_uc5_p40_c30_m2000_r10_s256_DIRECT,3.580861386617541
UC5_P40_C30,run-20251216-132200_uc5_p40_c30_m2000_r10_s256_DIRECT,0.0
UC5_P40_C30,run-20251216-132617_uc5_p40_c30_m2000_r10_s256_DIRECT,4.1534215132319074
UC5_P40_C30,run-20251216-133030_uc5_p40_c30_m2000_r10_s256_DIRECT,4.311483157530513
UC5_P50_C10,run-20251216-100908_uc5_p50_c10_m2000_r10_s256_DIRECT,4.051498686942081
UC5_P50_C10,run-20251216-101320_uc5_p50_c10_m2000_r10_s256_DIRECT,4.266129946632966
UC5_P50_C10,run-20251216-101734_uc5_p50_c10_m2000_r10_s256_DIRECT,4.2180182028795565
UC5_P50_C10,run-20251216-102143_uc5_p50_c10_m2000_r10_s256_DIRECT,4.260375719612736
UC5_P50_C10,run-20251216-102554_uc5_p50_c10_m2000_r10_s256_DIRECT,3.9881674706380488
UC5_P50_C10,run-20251216-103001_uc5_p50_c10_m2000_r10_s256_DIRECT,4.020643668101154
UC5_P50_C10,run-20251216-103413_uc5_p50_c10_m2000_r10_s256_DIRECT,4.137655635988074
UC5_P50_C10,run-20251216-103820_uc5_p50_c10_m2000_r10_s256_DIRECT,4.200457380734774
UC5_P50_C10,run-20251216-104230_uc5_p50_c10_m2000_r10_s256_DIRECT,4.087407312441715
UC5_P50_C10,run-20251216-104644_uc5_p50_c10_m2000_r10_s256_DIRECT,4.326091866380639
UC5_P50_C20,run-20251216-091217_uc5_p50_c20_m2000_r10_s256_DIRECT,4.177883322863538
UC5_P50_C20,run-20251216-091625_uc5_p50_c20_m2000_r10_s256_DIRECT,4.204439830275736
UC5_P50_C20,run-20251216-092034_uc5_p50_c20_m2000_r10_s256_DIRECT,4.169809505967362
UC5_P50_C20,run-20251216-092446_uc5_p50_c20_m2000_r10_s256_DIRECT,4.191046304108688
UC5_P50_C20,run-20251216-092900_uc5_p50_c20_m2000_r10_s256_DIRECT,4.0460626657401395
UC5_P50_C20,run-20251216-093311_uc5_p50_c20_m2000_r10_s256_DIRECT,3.8974930149831355
UC5_P50_C20,run-20251216-093722_uc5_p50_c20_m2000_r10_s256_DIRECT,4.084997838199548
UC5_P50_C20,run-20251216-094131_uc5_p50_c20_m2000_r10_s256_DIRECT,4.08304572667593
UC5_P50_C20,run-20251216-094539_uc5_p50_c20_m2000_r10_s256_DIRECT,3.976802286676788
UC5_P50_C20,run-20251216-094948_uc5_p50_c20_m2000_r10_s256_DIRECT,4.167464763841914
UC5_P50_C30,run-20251216-083015_uc5_p50_c30_m2000_r10_s256_DIRECT,3.9379940631409798
UC5_P50_C30,run-20251216-083428_uc5_p50_c30_m2000_r10_s256_DIRECT,3.9793460944913157
UC5_P50_C30,run-20251216-083838_uc5_p50_c30_m2000_r10_s256_DIRECT,4.050422619260554
UC5_P50_C30,run-20251216-084248_uc5_p50_c30_m2000_r10_s256_DIRECT,3.8880814154429637
UC5_P50_C30,run-20251216-084656_uc5_p50_c30_m2000_r10_s256_DIRECT,4.167140040102635
UC5_P50_C30,run-20251216-085106_uc5_p50_c30_m2000_r10_s256_DIRECT,3.9370301094787856
UC5_P50_C30,run-20251216-085514_uc5_p50_c30_m2000_r10_s256_DIRECT,3.9600599273477513
UC5_P50_C30,run-20251216-085922_uc5_p50_c30_m2000_r10_s256_DIRECT,4.0369643320327295
UC5_P50_C30,run-20251216-090330_uc5_p50_c30_m2000_r10_s256_DIRECT,4.003090258662731
UC5_P50_C30,run-20251216-090738_uc5_p50_c30_m2000_r10_s256_DIRECT,3.955732943418735
