uc,run,neighbour_down,neighbour_up
UC5_P40_C10,run-20251216-105914_uc5_p40_c10_m2000_r10_s256_DIRECT,9.625,12.9
UC5_P40_C10,run-20251216-110321_uc5_p40_c10_m2000_r10_s256_DIRECT,14.475,17.675
UC5_P40_C10,run-20251216-110732_uc5_p40_c10_m2000_r10_s256_DIRECT,11.075,14.15
UC5_P40_C10,run-20251216-111138_uc5_p40_c10_m2000_r10_s256_DIRECT,14.875,18.0
UC5_P40_C10,run-20251216-111544_uc5_p40_c10_m2000_r10_s256_DIRECT,19.425,22.6
UC5_P40_C10,run-20251216-111949_uc5_p40_c10_m2000_r10_s256_DIRECT,10.0,13.4
UC5_P40_C10,run-20251216-112355_uc5_p40_c10_m2000_r10_s256_DIRECT,6.45,9.8
UC5_P40_C10,run-20251216-112805_uc5_p40_c10_m2000_r10_s256_DIRECT,16.0,18.95
UC5_P40_C20,run-20251216-113224_uc5_p40_c20_m2000_r10_s256_DIRECT,10.5,13.925
UC5_P40_C20,run-20251216-113630_uc5_p40_c20_m2000_r10_s256_DIRECT,10.35,13.725
UC5_P40_C20,run-20251216-114729_uc5_p40_c20_m2000_r10_s256_DIRECT,15.2,17.9
UC5_P40_C20,run-20251216-122244_uc5_p40_c20_m2000_r10_s256_DIRECT,5.675,8.975
UC5_P40_C20,run-20251216-122701_uc5_p40_c20_m2000_r10_s256_DIRECT,10.775,13.975
UC5_P40_C20,run-20251216-123115_uc5_p40_c20_m2000_r10_s256_DIRECT,14.775,18.1
UC5_P40_C20,run-20251216-123527_uc5_p40_c20_m2000_r10_s256_DIRECT,5.5,8.575
UC5_P40_C20,run-20251216-123941_uc5_p40_c20_m2000_r10_s256_DIRECT,9.85,13.125
UC5_P40_C20,run-20251216-124352_uc5_p40_c20_m2000_r10_s256_DIRECT,15.3,18.625
UC5_P40_C20,run-20251216-124810_uc5_p40_c20_m2000_r10_s256_DIRECT,5.5,8.525
UC5_P40_C30,run-20251216-125230_uc5_p40_c30_m2000_r10_s256_DIRECT,10.8,13.95
UC5_P40_C30,run-20251216-125642_uc5_p40_c30_m2000_r10_s256_DIRECT,11.375,14.225
UC5_P40_C30,run-20251216-130054_uc5_p40_c30_m2000_r10_s256_DIRECT,11.125,13.925
UC5_P40_C30,run-20251216-130508_uc5_p40_c30_m2000_r10_s256_DIRECT,15.6,18.55
UC5_P40_C30,run-20251216-130920_uc5_p40_c30_m2000_r10_s256_DIRECT,11.125,14.05
UC5_P40_C30,run-20251216-131331_uc5_p40_c30_m2000_r10_s256_DIRECT,10.25,13.475
UC5_P40_C30,run-20251216-131747_uc5_p40_c30_m2000_r10_s256_DIRECT,20.25,23.275
UC5_P40_C30,run-20251216-132200_uc5_p40_c30_m2000_r10_s256_DIRECT,0.0,0.0
UC5_P40_C30,run-20251216-132617_uc5_p40_c30_m2000_r10_s256_DIRECT,10.6,13.85
UC5_P40_C30,run-20251216-133030_uc5_p40_c30_m2000_r10_s256_DIRECT,9.925,13.325
UC5_P50_C10,run-20251216-100908_uc5_p50_c10_m2000_r10_s256_DIRECT,16.38,19.56
UC5_P50_C10,run-20251216-101320_uc5_p50_c10_m2000_r10_s256_DIRECT,10.78,14.04
UC5_P50_C10,run-20251216-101734_uc5_p50_c10_m2000_r10_s256_DIRECT,16.78,20.1
UC5_P50_C10,run-20251216-102143_uc5_p50_c10_m2000_r10_s256_DIRECT,5.4,8.84
UC5_P50_C10,run-20251216-102554_uc5_p50_c10_m2000_r10_s256_DIRECT,17.22,20.42
UC5_P50_C10,run-20251216-103001_uc5_p50_c10_m2000_r10_s256_DIRECT,11.8,14.86
UC5_P50_C10,run-20251216-103413_uc5_p50_c10_m2000_r10_s256_DIRECT,12.12,15.3
UC5_P50_C10,run-20251216-103820_uc5_p50_c10_m2000_r10_s256_DIRECT,9.66,12.96
UC5_P50_C10,run-20251216-104230_uc5_p50_c10_m2000_r10_s256_DIRECT,10.2,13.14
UC5_P50_C10,run-20251216-104644_uc5_p50_c10_m2000_r10_s256_DIRECT,6.1,9.22
UC5_P50_C20,run-20251216-091217_uc5_p50_c20_m2000_r10_s256_DIRECT,6.24,9.4
UC5_P50_C20,run-20251216-091625_uc5_p50_c20_m2000_r10_s256_DIRECT,6.24,9.38
UC5_P50_C20,run-20251216-092034_uc5_p50_c20_m2000_r10_s256_DIRECT,5.62,8.88
UC5_P50_C20,run-20251216-092446_uc5_p50_c20_m2000_r10_s256_DIRECT,11.18,14.34
UC5_P50_C20,run-20251216-092900_uc5_p50_c20_m2000_r10_s256_DIRECT,11.12,14.3
UC5_P50_C20,run-20251216-093311_uc5_p50_c20_m2000_r10_s256_DIRECT,10.58,13.64
UC5_P50_C20,run-20251216-093722_uc5_p50_c20_m2000_r10_s256_DIRECT,6.3,9.46
UC5_P50_C20,run-20251216-094131_uc5_p50_c20_m2000_r10_s256_DIRECT,16.46,19.7
UC5_P50_C20,run-20251216-094539_uc5_p50_c20_m2000_r10_s256_DIRECT,15.44,18.64
UC5_P50_C20,run-20251216-094948_uc5_p50_c20_m2000_r10_s256_DIRECT,16.58,19.82
UC5_P50_C30,run-20251216-083015_uc5_p50_c30_m2000_r10_s256_DIRECT,20.88,23.94
UC5_P50_C30,run-20251216-083428_uc5_p50_c30_m2000_r10_s256_DIRECT,11.14,14.24
UC5_P50_C30,run-20251216-083838_uc5_p50_c30_m2000_r10_s256_DIRECT,16.42,19.62
UC5_P50_C30,run-20251216-084248_uc5_p50_c30_m2000_r10_s256_DIRECT,17.22,20.24
UC5_P50_C30,run-20251216-084656_uc5_p50_c30_m2000_r10_s256_DIRECT,18.04,21.24
UC5_P50_C30,run-20251216-085106_uc5_p50_c30_m2000_r10_s256_DIRECT,19.66,22.72
UC5_P50_C30,run-20251216-085514_uc5_p50_c30_m2000_r10_s256_DIRECT,16.26,19.44
UC5_P50_C30,run-20251216-085922_uc5_p50_c30_m2000_r10_s256_DIRECT,11.72,14.7
UC5_P50_C30,run-20251216-090330_uc5_p50_c30_m2000_r10_s256_DIRECT,16.26,19.36
UC5_P50_C30,run-20251216-090738_uc5_p50_c30_m2000_r10_s256_DIRECT,11.2,14.22
