uc,run,delivery_rate,duplicate_rate,received_unique,recv_total,total_expected,duplicates,out_of_order,churn_pct,lat_min,lat_p50,lat_p90,lat_p99,lat_max,ldh_min,ldh_p50,ldh_p90,ldh_p99,ldh_max,pr_avg_ratio,avg_connected_peers,downtime_total_ms,downtime_periods,downtime_p50_ms,downtime_p90_ms,downtime_max_ms,neighbour_down,neighbour_up,join_wait_ms,sender_joined,joined,saw_test,delivery_rate_joined_only
UC5_P30_C20,run-20251216-155153_uc5_p30_c20_m2000_r10_s256_DIRECT,0.8995833333333334,0.0,1799.1666666666667,1799.1666666666667,1866.6666666666667,0.0,4.666666666666667,20.0,0.0,1.0,1.4285714285714286,1759.75,2203.285714285714,1.1785714285714286,1.3571428571428572,1.5,1.5,1.6071428571428572,1.0,4.392647637643781,0.0,0.06666666666666667,0.0,0.0,0.0,5.233333333333333,8.666666666666666,19228.0,1.0,0.9333333333333333,0.9333333333333333,0.9638392857142858
UC5_P30_C20,run-20251216-155603_uc5_p30_c20_m2000_r10_s256_DIRECT,0.9000166666666666,0.0,1800.0333333333333,1800.0333333333333,1866.6666666666667,0.0,7.166666666666667,20.0,0.75,1.7857142857142858,2.357142857142857,1769.357142857143,2267.3571428571427,2.857142857142857,3.357142857142857,3.75,3.857142857142857,4.25,1.0,4.249765244621135,0.36666666666666664,0.13333333333333333,2.75,2.75,2.75,5.9,9.233333333333333,19950.033333333333,1.0,0.9333333333333333,0.9333333333333333,0.9643035714285714
UC5_P30_C20,run-20251216-160012_uc5_p30_c20_m2000_r10_s256_DIRECT,0.9659666666666666,0.0,1931.9333333333334,1931.9333333333334,1933.3333333333333,0.0,7.666666666666667,20.0,0.0,1.0344827586206897,1.6206896551724137,1699.448275862069,2141.344827586207,1.3103448275862069,1.793103448275862,2.103448275862069,2.4482758620689653,4.103448275862069,1.0,4.063005378868288,0.03333333333333333,0.1,0.3333333333333333,0.3333333333333333,0.3333333333333333,8.966666666666667,12.533333333333333,12629.6,1.0,0.9666666666666667,0.9666666666666667,0.9992758620689655
UC5_P30_C20,run-20251216-160421_uc5_p30_c20_m2000_r10_s256_DIRECT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,,,,,,,,,,,,,0.0,0.0,,,,0.0,0.0,210001.16666666666,0.0,0.0,0.0,
UC5_P30_C20,run-20251216-160802_uc5_p30_c20_m2000_r10_s256_DIRECT,0.9653166666666666,0.0,1930.6333333333334,1930.6333333333334,1933.3333333333333,0.0,8.933333333333334,20.0,0.034482758620689655,1.1724137931034482,1.896551724137931,1711.0344827586207,2182.689655172414,1.5172413793103448,2.6551724137931036,4.620689655172414,5.068965517241379,6.172413793103448,1.0,3.939432454112986,0.23333333333333334,0.26666666666666666,0.6666666666666666,1.0,1.0,9.5,12.733333333333333,9061.633333333333,1.0,0.9666666666666667,0.9666666666666667,0.998603448275862
UC5_P30_C20,run-20251216-161208_uc5_p30_c20_m2000_r10_s256_DIRECT,0.9000166666666666,0.0,1800.0333333333333,1800.0333333333333,1866.6666666666667,0.0,10.0,20.0,0.21428571428571427,1.3928571428571428,1.8928571428571428,1765.607142857143,2269.3571428571427,1.5,2.8214285714285716,3.25,3.25,4.357142857142857,1.0,4.187145082728027,0.5333333333333333,0.03333333333333333,16.0,16.0,16.0,5.466666666666667,8.533333333333333,15716.7,1.0,0.9333333333333333,0.9333333333333333,0.9643035714285714
UC5_P30_C20,run-20251216-161613_uc5_p30_c20_m2000_r10_s256_DIRECT,0.9333166666666667,0.0,1866.6333333333334,1866.6333333333334,1866.6666666666667,0.0,6.666666666666667,20.0,0.03571428571428571,1.1785714285714286,1.8571428571428572,1762.9285714285713,2218.035714285714,1.8928571428571428,3.107142857142857,3.642857142857143,4.392857142857143,6.0,1.0,4.171731470454867,0.16666666666666666,0.13333333333333333,1.25,1.25,1.25,9.466666666666667,12.966666666666667,7521.0,1.0,0.9666666666666667,0.9333333333333333,0.9655
UC5_P30_C20,run-20251216-162017_uc5_p30_c20_m2000_r10_s256_DIRECT,0.9654,0.0,1930.8,1930.8,1933.3333333333333,0.0,2.533333333333333,20.0,0.0,1.0344827586206897,1.6551724137931034,1712.0,2189.9655172413795,1.4827586206896552,2.413793103448276,3.1379310344827585,4.137931034482759,4.586206896551724,1.0,4.237772321702776,0.06666666666666667,0.06666666666666667,1.0,1.0,1.0,8.0,11.433333333333334,8338.933333333332,1.0,0.9666666666666667,0.9666666666666667,0.9986896551724138
UC5_P30_C20,run-20251216-162421_uc5_p30_c20_m2000_r10_s256_DIRECT,0.9651833333333334,0.0,1930.3666666666666,1930.3666666666666,1933.3333333333333,0.0,9.7,20.0,0.034482758620689655,1.2413793103448276,1.8620689655172413,1700.9310344827586,2161.9310344827586,1.3793103448275863,3.206896551724138,3.4482758620689653,3.8620689655172415,3.8620689655172415,1.0,3.9505909768970944,0.03333333333333333,0.13333333333333333,0.25,0.25,0.25,9.9,13.1,8331.6,1.0,0.9666666666666667,0.9666666666666667,0.9984655172413793
UC5_P30_C30,run-20251216-133456_uc5_p30_c30_m2000_r10_s256_DIRECT,0.9654333333333334,0.0,1930.8666666666666,1930.8666666666666,1933.3333333333333,0.0,3.433333333333333,30.0,0.1724137931034483,1.5172413793103448,2.0689655172413794,2651.5172413793102,3334.448275862069,1.0689655172413792,2.6551724137931036,2.8275862068965516,4.0,4.9655172413793105,1.0,4.0163051568736385,0.16666666666666666,0.16666666666666666,1.0,1.0,1.0,14.033333333333333,17.3,3586.5,1.0,1.0,0.9666666666666667,0.9654333333333334
