uc,run,downtime_total_ms,downtime_periods,downtime_p50_ms,downtime_p90_ms,downtime_max_ms
UC5_P30_C10,run-20251216-164521_uc5_p30_c10_m2000_r10_s256_DIRECT,0.36666666666666664,0.1,5.0,5.0,5.0
UC5_P30_C10,run-20251216-164926_uc5_p30_c10_m2000_r10_s256_DIRECT,7447.366666666667,0.13333333333333333,55855.25,55855.25,55855.25
UC5_P30_C10,run-20251216-165330_uc5_p30_c10_m2000_r10_s256_DIRECT,1.2,0.16666666666666666,7.2,7.2,7.2
UC5_P30_C10,run-20251216-165734_uc5_p30_c10_m2000_r10_s256_DIRECT,0.3333333333333333,0.1,3.3333333333333335,3.3333333333333335,3.3333333333333335
UC5_P30_C10,run-20251216-170139_uc5_p30_c10_m2000_r10_s256_DIRECT,0.0,0.03333333333333333,0.0,0.0,0.0
UC5_P30_C10,run-20251216-170543_uc5_p30_c10_m2000_r10_s256_DIRECT,0.0,0.0,,,
UC5_P30_C20,run-20251216-154745_uc5_p30_c20_m2000_r10_s256_DIRECT,0.0,0.0,,,
UC5_P30_C20,run-20251216-155153_uc5_p30_c20_m2000_r10_s256_DIRECT,0.0,0.06666666666666667,0.0,0.0,0.0
UC5_P30_C20,run-20251216-155603_uc5_p30_c20_m2000_r10_s256_DIRECT,0.36666666666666664,0.13333333333333333,2.75,2.75,2.75
UC5_P30_C20,run-20251216-160012_uc5_p30_c20_m2000_r10_s256_DIRECT,0.03333333333333333,0.1,0.3333333333333333,0.3333333333333333,0.3333333333333333
UC5_P30_C20,run-20251216-160421_uc5_p30_c20_m2000_r10_s256_DIRECT,0.0,0.0,,,
UC5_P30_C20,run-20251216-160802_uc5_p30_c20_m2000_r10_s256_DIRECT,0.23333333333333334,0.26666666666666666,0.6666666666666666,1.0,1.0
UC5_P30_C20,run-20251216-161208_uc5_p30_c20_m2000_r10_s256_DIRECT,0.5333333333333333,0.03333333333333333,16.0,16.0,16.0
UC5_P30_C20,run-20251216-161613_uc5_p30_c20_m2000_r10_s256_DIRECT,0.16666666666666666,0.13333333333333333,1.25,1.25,1.25
UC5_P30_C20,run-20251216-162017_uc5_p30_c20_m2000_r10_s256_DIRECT,0.06666666666666667,0.06666666666666667,1.0,1.0,1.0
UC5_P30_C20,run-20251216-162421_uc5_p30_c20_m2000_r10_s256_DIRECT,0.03333333333333333,0.13333333333333333,0.25,0.25,0.25
UC5_P30_C30,run-20251216-133456_uc5_p30_c30_m2000_r10_s256_DIRECT,0.16666666666666666,0.16666666666666666,1.0,1.0,1.0
UC5_P30_C30,run-20251216-133907_uc5_p30_c30_m2000_r10_s256_DIRECT,0.5,0.16666666666666666,3.75,3.75,3.75
UC5_P30_C30,run-20251216-134319_uc5_p30_c30_m2000_r10_s256_DIRECT,0.0,0.0,,,
UC5_P30_C30,run-20251216-134728_uc5_p30_c30_m2000_r10_s256_DIRECT,1.6666666666666667,0.16666666666666666,11.5,11.5,11.5
UC5_P30_C30,run-20251216-135140_uc5_p30_c30_m2000_r10_s256_DIRECT,0.0,0.03333333333333333,0.0,0.0,0.0
UC5_P30_C30,run-20251216-135549_uc5_p30_c30_m2000_r10_s256_DIRECT,7513.933333333333,0.06666666666666667,225418.0,225418.0,225418.0
UC5_P30_C30,run-20251216-135959_uc5_p30_c30_m2000_r10_s256_DIRECT,0.36666666666666664,0.13333333333333333,2.75,2.75,2.75
UC5_P30_C30,run-20251216-140408_uc5_p30_c30_m2000_r10_s256_DIRECT,0.5333333333333333,0.13333333333333333,4.0,4.0,4.0
UC5_P30_C30,run-20251216-140819_uc5_p30_c30_m2000_r10_s256_DIRECT,0.9666666666666667,0.16666666666666666,5.8,5.8,5.8
UC5_P30_C30,run-20251216-141227_uc5_p30_c30_m2000_r10_s256_DIRECT,0.8,0.2,5.5,5.75,5.75
UC5_P40_C10,run-20251216-105101_uc5_p40_c10_m2000_r10_s256_DIRECT,0.925,0.2,5.5,5.5,5.5
UC5_P40_C10,run-20251216-105509_uc5_p40_c10_m2000_r10_s256_DIRECT,0.225,0.15,1.5,1.5,1.5
UC5_P40_C10,run-20251216-105914_uc5_p40_c10_m2000_r10_s256_DIRECT,2.525,0.4,6.3125,6.3125,6.3125
UC5_P40_C10,run-20251216-110321_uc5_p40_c10_m2000_r10_s256_DIRECT,0.65,0.2,3.25,3.25,3.25
UC5_P40_C10,run-20251216-110732_uc5_p40_c10_m2000_r10_s256_DIRECT,0.575,0.225,2.625,2.625,2.625
UC5_P40_C10,run-20251216-111138_uc5_p40_c10_m2000_r10_s256_DIRECT,0.825,0.15,5.5,5.5,5.5
UC5_P40_C10,run-20251216-111544_uc5_p40_c10_m2000_r10_s256_DIRECT,1.075,0.175,5.75,10.0,10.0
UC5_P40_C10,run-20251216-111949_uc5_p40_c10_m2000_r10_s256_DIRECT,0.325,0.2,1.8571428571428572,1.8571428571428572,1.8571428571428572
UC5_P40_C10,run-20251216-112355_uc5_p40_c10_m2000_r10_s256_DIRECT,1.575,0.125,13.0,29.5,29.5
UC5_P40_C10,run-20251216-112805_uc5_p40_c10_m2000_r10_s256_DIRECT,0.175,0.1,2.3333333333333335,2.3333333333333335,2.3333333333333335
UC5_P40_C20,run-20251216-113224_uc5_p40_c20_m2000_r10_s256_DIRECT,0.55,0.125,4.4,4.4,4.4
UC5_P40_C20,run-20251216-113630_uc5_p40_c20_m2000_r10_s256_DIRECT,0.025,0.025,1.0,1.0,1.0
UC5_P40_C20,run-20251216-114729_uc5_p40_c20_m2000_r10_s256_DIRECT,0.125,0.075,1.6666666666666667,1.6666666666666667,1.6666666666666667
UC5_P40_C20,run-20251216-122244_uc5_p40_c20_m2000_r10_s256_DIRECT,0.575,0.075,7.666666666666667,7.666666666666667,7.666666666666667
UC5_P40_C20,run-20251216-122701_uc5_p40_c20_m2000_r10_s256_DIRECT,0.925,0.2,5.285714285714286,5.285714285714286,5.285714285714286
UC5_P40_C20,run-20251216-123115_uc5_p40_c20_m2000_r10_s256_DIRECT,0.95,0.1,9.5,9.5,9.5
UC5_P40_C20,run-20251216-123527_uc5_p40_c20_m2000_r10_s256_DIRECT,0.575,0.05,11.5,11.5,11.5
UC5_P40_C20,run-20251216-123941_uc5_p40_c20_m2000_r10_s256_DIRECT,0.675,0.05,13.5,13.5,13.5
UC5_P40_C20,run-20251216-124352_uc5_p40_c20_m2000_r10_s256_DIRECT,0.1,0.075,1.3333333333333333,1.3333333333333333,1.3333333333333333
UC5_P40_C20,run-20251216-124810_uc5_p40_c20_m2000_r10_s256_DIRECT,0.775,0.075,10.333333333333334,10.333333333333334,10.333333333333334
UC5_P40_C30,run-20251216-125230_uc5_p40_c30_m2000_r10_s256_DIRECT,0.275,0.05,5.5,5.5,5.5
UC5_P40_C30,run-20251216-125642_uc5_p40_c30_m2000_r10_s256_DIRECT,6.675,0.225,29.666666666666668,29.666666666666668,29.666666666666668
