uc,run,delivery_rate,duplicate_rate,received_unique,recv_total,total_expected,duplicates,out_of_order,lat_min,lat_p50,lat_p90,lat_p99,lat_max,ldh_min,ldh_p50,ldh_p90,ldh_p99,ldh_max,pr_avg_ratio,avg_connected_peers,downtime_total_ms,downtime_periods,downtime_p50_ms,downtime_p90_ms,downtime_max_ms,neighbour_down,neighbour_up,join_wait_ms,sender_joined,joined,saw_test,delivery_rate_joined_only
UC3_P40,run-20251204-101125_uc9_p40_m2000_r10_s256_DIRECT,0.98425,0.0,1968.5,1968.5,2000.0,0.0,294.225,65.45,284.575,485.525,848.05,7094.675,0.575,1.95,3.925,5.85,8.75,1.0,3.686721915581907,214.8,0.375,610.3571428571429,610.3571428571429,610.3571428571429,17.45,20.35,3604.55,1.0,1.0,1.0,0.98425
UC3_P40,run-20251204-101521_uc9_p40_m2000_r10_s256_DIRECT,0.9911125000000001,0.0,1982.225,1982.225,2000.0,0.0,329.525,56.375,297.15,511.425,901.225,3717.15,0.4,1.625,3.65,5.475,8.175,1.0,3.684915543271278,3280.4,0.475,8695.666666666666,8695.666666666666,8695.666666666666,17.75,20.8,2429.925,1.0,1.0,1.0,0.9911125000000001
UC3_P50,run-20251204-103411_uc9_p50_m2000_r10_s256_DIRECT,0.9930800000000001,0.0,1986.16,1986.16,2000.0,0.0,311.32,62.9,275.2,473.94,745.46,4545.46,0.56,1.56,3.48,5.3,10.88,1.0,3.6274492221671135,124.18,0.26,511.54545454545456,511.54545454545456,511.54545454545456,18.9,21.66,1702.44,1.0,1.0,1.0,0.9930800000000001
UC3_P50,run-20251204-103810_uc9_p50_m2000_r10_s256_DIRECT,0.99524,0.0,1990.48,1990.48,2000.0,0.0,312.86,61.6,281.46,484.84,852.0,7527.0,0.52,1.62,3.64,5.66,10.26,1.0,3.6843655749074675,1921.16,0.22,8732.545454545454,8732.545454545454,8732.545454545454,19.5,22.24,1331.42,1.0,1.0,1.0,0.99524
UC3_P50,run-20251204-104210_uc9_p50_m2000_r10_s256_DIRECT,0.99702,0.0,1994.04,1994.04,2000.0,0.0,329.42,63.8,295.6,515.76,913.54,3182.58,0.58,1.6,3.68,5.74,10.5,1.0,3.8462719120417956,108.46,0.28,398.61538461538464,398.61538461538464,398.61538461538464,19.34,22.12,1153.24,1.0,1.0,1.0,0.99702
UC3_P50,run-20251204-104609_uc9_p50_m2000_r10_s256_DIRECT,0.9950500000000001,0.0,1990.1,1990.1,2000.0,0.0,312.2,56.54,272.0,472.72,733.06,3275.64,0.36,1.46,3.48,5.3,8.52,1.0,3.7453284715196395,165.08,0.24,776.2222222222222,849.3333333333334,849.3333333333334,19.34,22.06,1140.78,1.0,1.0,1.0,0.9950500000000001
UC3_P50,run-20251204-105009_uc9_p50_m2000_r10_s256_DIRECT,0.9976700000000001,0.0,1995.34,1995.34,2000.0,0.0,325.36,66.3,306.86,516.86,807.6,5338.68,0.58,1.96,3.98,5.98,10.2,1.0,3.422699607093193,5001.08,0.58,11797.3,11828.75,11828.75,19.22,22.14,2434.1,1.0,1.0,1.0,0.9976700000000001
UC3_P50,run-20251204-105411_uc9_p50_m2000_r10_s256_DIRECT,0.99464,0.0,1989.28,1989.28,2000.0,0.0,321.22,67.0,294.68,503.24,856.94,6506.14,0.62,1.62,3.72,5.68,8.88,1.0,3.6221924137078556,202.06,0.38,574.4,574.4,574.4,18.3,21.08,2582.22,1.0,1.0,1.0,0.99464
UC3_P50,run-20251204-105812_uc9_p50_m2000_r10_s256_DIRECT,0.9939100000000001,0.0,1987.82,1987.82,2000.0,0.0,320.66,66.64,307.9,516.36,790.56,4842.6,0.6,2.0,4.08,5.96,10.26,1.0,3.7469354676555513,304.34,0.5,662.3125,777.4375,777.4375,19.46,22.7,1564.74,1.0,1.0,1.0,0.9939100000000001
UC3_P50,run-20251204-110211_uc9_p50_m2000_r10_s256_DIRECT,0.99351,0.0,1987.02,1987.02,2000.0,0.0,309.9,63.86,279.52,477.74,837.92,4314.04,0.54,1.78,3.94,5.72,9.98,1.0,3.5104157571067547,294.56,0.56,585.9047619047619,617.4761904761905,617.4761904761905,18.66,21.6,2762.62,1.0,1.0,1.0,0.99351
