uc,run,delivery_rate,duplicate_rate,received_unique,recv_total,total_expected,duplicates,out_of_order,churn_pct,lat_min,lat_p50,lat_p90,lat_p99,lat_max,ldh_min,ldh_p50,ldh_p90,ldh_p99,ldh_max,pr_avg_ratio,avg_connected_peers,downtime_total_ms,downtime_periods,downtime_p50_ms,downtime_p90_ms,downtime_max_ms,neighbour_down,neighbour_up,join_wait_ms,sender_joined,joined,saw_test,delivery_rate_joined_only
UC6_P10_C30,run-20251218-122521_uc6_p10_c30_m2000_r10_s256_RELAY,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,,,,,,,,,,,,,0.0,0.0,,,,0.0,0.0,210001.2,0.0,0.0,0.0,
UC6_P10_C30,run-20251218-122904_uc6_p10_c30_m2000_r10_s256_RELAY,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,,,,,,,,,,,1.0,0.0,0.0,0.0,,,,0.0,0.0,210001.3,0.0,0.0,0.0,
UC6_P10_C30,run-20251218-123247_uc6_p10_c30_m2000_r10_s256_RELAY,1.0,0.0,2000.0,2000.0,2000.0,0.0,9.6,30.0,0.2,1.1,1.7,2461.3,3074.2,0.9,1.2,1.3,1.3,2.0,1.0,3.3768092252224826,0.0,0.0,,,,2.9,6.2,102.5,1.0,1.0,1.0,1.0
UC6_P10_C30,run-20251218-123652_uc6_p10_c30_m2000_r10_s256_RELAY,1.0,0.0,2000.0,2000.0,2000.0,0.0,0.0,30.0,0.0,1.3,1.8,2476.9,3106.3,0.9,1.3,1.6,1.6,2.3,1.0,3.999084793763669,0.0,0.0,,,,2.6,6.3,122.3,1.0,1.0,1.0,1.0
UC6_P10_C30,run-20251218-124058_uc6_p10_c30_m2000_r10_s256_RELAY,1.0,0.0,2000.0,2000.0,2000.0,0.0,13.2,30.0,0.0,1.0,1.8,2456.3,3083.2,0.6,0.9,1.5,1.8,2.0,1.0,3.7936982875553817,0.0,0.0,,,,2.5,6.1,89.0,1.0,1.0,1.0,1.0
UC6_P10_C30,run-20251218-124504_uc6_p10_c30_m2000_r10_s256_RELAY,0.1,0.0,200.0,200.0,200.0,0.0,0.0,30.0,0.0,1.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,,,,0.0,0.0,189367.6,1.0,0.1,0.1,1.0
UC6_P50_C30,run-20251214-181233_uc6_p50_c30_m2000_r10_s256_RELAY,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,,,,,,,,,,,1.0,0.0,0.0,0.0,,,,0.0,0.0,210001.24,0.0,0.0,0.0,
UC6_P50_C30,run-20251214-181629_uc6_p50_c30_m2000_r10_s256_RELAY,0.99588,0.0,1991.76,1991.76,2000.0,0.0,10.48,30.0,0.42,1.52,2.16,2923.88,3639.88,1.92,2.58,3.54,3.64,4.4,1.0,3.6818648102257985,77.46,0.84,121.34782608695652,166.08695652173913,166.08695652173913,17.7,20.98,179.52,1.0,1.0,1.0,0.99588
UC6_P50_C30,run-20251214-182047_uc6_p50_c30_m2000_r10_s256_RELAY,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,,,,,,,,,,,1.0,3.80740586089947,3.94,0.48,9.933333333333334,12.0,12.0,17.22,20.38,4354.64,0.0,0.98,0.0,0.0
UC6_P50_C30,run-20251214-182442_uc6_p50_c30_m2000_r10_s256_RELAY,0.96392,0.0,1927.84,1927.84,1960.0,0.0,13.42,30.0,0.22448979591836735,1.469387755102041,2.183673469387755,3171.122448979592,3794.122448979592,1.5510204081632653,2.142857142857143,2.877551020408163,2.9591836734693877,3.795918367346939,1.0,3.698076958839677,25.14,0.64,48.2,48.2,48.2,19.12,22.46,4362.26,1.0,0.98,0.98,0.9835918367346939
UC6_P50_C30,run-20251214-182900_uc6_p50_c30_m2000_r10_s256_RELAY,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,,,,,,,,,,,1.0,2.7807934205623543,0.06,0.02,3.0,3.0,3.0,0.28,1.06,155628.58,0.0,0.26,0.0,0.0
UC6_P50_C30,run-20251214-183256_uc6_p50_c30_m2000_r10_s256_RELAY,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,,,,,,,,,,,1.0,3.2938459076122792,1192.26,0.46,3311.8333333333335,3311.8333333333335,3311.8333333333335,17.0,19.7,12859.18,0.0,0.94,0.0,0.0
UC6_P50_C30,run-20251214-183652_uc6_p50_c30_m2000_r10_s256_RELAY,1.0,0.0,2000.0,2000.0,2000.0,0.0,16.32,30.0,0.24,1.64,2.1,3075.74,3756.16,1.72,2.46,3.46,3.76,5.22,1.0,3.888887409943229,10.72,0.7,19.695652173913043,21.26086956521739,21.26086956521739,18.54,21.9,165.62,1.0,1.0,1.0,1.0
UC6_P50_C30,run-20251214-184110_uc6_p50_c30_m2000_r10_s256_RELAY,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,,,,,,,,,,,1.0,0.0,0.0,0.0,,,,0.0,0.0,210001.26,0.0,0.0,0.0,
UC6_P50_C30,run-20251214-184505_uc6_p50_c30_m2000_r10_s256_RELAY,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,,,,,,,,,,,1.0,3.741905244451154,6.66,0.5,16.36842105263158,16.36842105263158,16.36842105263158,17.92,20.82,172.0,0.0,1.0,0.0,0.0
UC6_P50_C30,run-20251214-184901_uc6_p50_c30_m2000_r10_s256_RELAY,0.99956,0.0,1999.12,1999.12,2000.0,0.0,9.48,30.0,0.28,1.6,2.2,3309.2,4015.62,1.86,2.5,3.76,3.96,4.9,1.0,3.3550522666473865,95.34,0.86,74.25,165.96428571428572,165.96428571428572,19.0,21.94,163.88,1.0,1.0,1.0,0.99956
